,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real
231,37.19,1.55,38.78,Feminino,Preto,Loiro,Esfaqueamento,Rua,Parda,Classe Alta,Desconhecido
1778,19.29,1.83,80.65,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1033,33.95,1.46,68.0,Feminino,Castanho,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,Desconhecido
1491,34.58,1.71,58.6,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
585,10.62,1.61,86.55,Feminino,Castanho,Loiro,Contusão,Trabalho,Amarela,Classe Média,Desconhecido
565,11.63,1.7,75.91,Feminino,Preto,Ruivo,Contusão,Escola,Parda,Classe Alta,Desconhecido
544,14.02,1.82,65.26,Masculino,Preto,Castanho,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
413,20.19,1.76,86.7,Masculino,Azul,Ruivo,Esfaqueamento,Escola,Negra,Classe Baixa,Desconhecido
618,19.74,1.88,35.15,Feminino,Azul,Ruivo,Contusão,Casa,Parda,Classe Alta,Desconhecido
553,11.55,1.79,56.54,Feminino,Castanho,Loiro,Envenenamento,Escola,Parda,Classe Média,Desconhecido
213,13.34,1.85,51.74,Feminino,Preto,Preto,Estrangulamento,Escola,Branca,Classe Alta,Desconhecido
1735,27.85,1.8,80.18,Feminino,Verde,Ruivo,Estrangulamento,Rua,Parda,Classe Alta,Roberto Chimarildo Tomáz
923,10.97,1.86,70.73,Masculino,Verde,Castanho,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido
1557,43.35,1.58,56.63,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
1663,30.26,1.72,85.24,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Média,Roberto Chimarildo Tomáz
1171,49.72,1.78,72.33,Feminino,Azul,Castanho,Contusão,Trabalho,Branca,Classe Média,Desconhecido
1524,35.02,1.61,62.07,Masculino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
972,50.53,1.46,86.13,Masculino,Verde,Preto,Estrangulamento,Trabalho,Amarela,Classe Média,Desconhecido
1668,31.67,1.81,74.63,Feminino,Verde,Preto,Esfaqueamento,Casa,Branca,Classe Média,Roberto Chimarildo Tomáz
431,40.87,1.41,39.05,Feminino,Castanho,Castanho,Estrangulamento,Trabalho,Parda,Classe Baixa,Desconhecido
984,18.16,1.52,41.76,Masculino,Verde,Ruivo,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
1456,15.6,1.62,36.66,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
332,47.16,1.46,36.3,Feminino,Azul,Ruivo,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
176,11.28,1.5,38.61,Masculino,Azul,Ruivo,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
613,12.87,1.78,88.28,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
304,10.41,1.41,87.33,Feminino,Castanho,Ruivo,Estrangulamento,Rua,Branca,Classe Média,Desconhecido
1272,35.67,1.58,76.52,Masculino,Castanho,Ruivo,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
1382,22.24,1.43,46.67,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
1248,56.01,1.87,37.74,Masculino,Preto,Castanho,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
1242,25.62,1.89,30.08,Feminino,Verde,Castanho,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
1673,42.63,1.84,74.69,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1190,25.69,1.79,63.88,Masculino,Azul,Preto,Envenenamento,Trabalho,Amarela,Classe Baixa,Desconhecido
874,22.87,1.89,45.49,Masculino,Azul,Ruivo,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
848,17.86,1.65,89.54,Masculino,Castanho,Preto,Esfaqueamento,Escola,Amarela,Classe Baixa,Desconhecido
843,45.01,1.65,61.93,Feminino,Azul,Preto,Estrangulamento,Casa,Negra,Classe Baixa,Desconhecido
684,48.44,1.88,69.6,Feminino,Castanho,Ruivo,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
177,18.44,1.55,30.3,Masculino,Castanho,Castanho,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
1304,53.99,1.58,47.64,Masculino,Verde,Castanho,Esfaqueamento,Rua,Amarela,Classe Baixa,Desconhecido
223,17.0,1.59,31.84,Feminino,Verde,Loiro,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
183,18.29,1.52,64.09,Masculino,Castanho,Ruivo,Estrangulamento,Rua,Amarela,Classe Alta,Desconhecido
626,19.55,1.55,41.34,Feminino,Preto,Preto,Contusão,Casa,Branca,Classe Alta,Desconhecido
1478,54.81,1.72,87.1,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
988,25.65,1.44,54.02,Feminino,Castanho,Preto,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
638,38.1,1.44,57.48,Feminino,Verde,Castanho,Envenenamento,Trabalho,Amarela,Classe Alta,Desconhecido
1762,20.37,1.73,66.3,Masculino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1756,20.81,1.88,75.11,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1692,19.9,1.59,81.3,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1120,57.92,1.86,41.87,Feminino,Castanho,Loiro,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido
474,57.83,1.74,34.39,Masculino,Verde,Ruivo,Contusão,Trabalho,Negra,Classe Média,Desconhecido
500,21.36,1.75,70.25,Feminino,Azul,Castanho,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
1582,40.74,1.68,60.16,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1519,44.89,1.75,53.79,Masculino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
1817,30.6,1.73,80.24,Feminino,Preto,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
971,47.0,1.64,73.89,Masculino,Azul,Castanho,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
1011,26.02,1.59,67.2,Feminino,Preto,Ruivo,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
1537,41.82,1.77,66.75,Feminino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Baixa,Coringon de le pinheirinho Silva
588,33.0,1.44,81.12,Feminino,Azul,Preto,Envenenamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1454,18.78,1.58,35.7,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
35,54.08,1.7,63.22,Masculino,Verde,Preto,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1837,30.88,1.84,85.05,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Parda,Classe Média,Roberto Chimarildo Tomáz
1263,48.05,1.76,69.97,Masculino,Verde,Castanho,Estrangulamento,Casa,Parda,Classe Média,Desconhecido
323,40.08,1.71,72.83,Feminino,Castanho,Castanho,Envenenamento,Rua,Amarela,Classe Média,Desconhecido
122,25.29,1.86,64.91,Masculino,Preto,Castanho,Contusão,Casa,Amarela,Classe Alta,Desconhecido
755,15.75,1.71,75.93,Feminino,Preto,Ruivo,Esfaqueamento,Rua,Negra,Classe Alta,Desconhecido
740,47.86,1.75,75.96,Masculino,Verde,Loiro,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
245,47.83,1.55,85.76,Masculino,Preto,Preto,Envenenamento,Rua,Parda,Classe Alta,Desconhecido
1311,51.01,1.87,41.57,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Amarela,Classe Baixa,Desconhecido
1483,39.58,1.72,62.05,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
640,24.0,1.56,89.98,Feminino,Castanho,Loiro,Estrangulamento,Escola,Branca,Classe Alta,Desconhecido
1753,26.11,1.72,73.44,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1733,22.32,1.8,83.97,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
448,14.41,1.66,39.93,Feminino,Castanho,Loiro,Envenenamento,Casa,Negra,Classe Alta,Desconhecido
1453,24.41,1.55,35.14,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
289,53.64,1.42,49.44,Masculino,Preto,Castanho,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
1642,39.49,1.74,37.82,Feminino,Preto,Preto,Envenenamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
1759,48.63,1.74,86.38,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1563,39.92,1.79,66.29,Feminino,Azul,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
1602,40.14,1.84,60.0,Feminino,Verde,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1836,52.56,1.75,67.88,Masculino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1472,22.66,1.54,39.78,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1265,47.67,1.82,34.59,Feminino,Azul,Preto,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
1812,30.91,1.81,81.88,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Branca,Classe Alta,Roberto Chimarildo Tomáz
723,42.02,1.57,69.59,Masculino,Preto,Preto,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
556,40.3,1.74,33.58,Feminino,Azul,Loiro,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1241,46.78,1.6,72.84,Feminino,Verde,Castanho,Contusão,Casa,Negra,Classe Baixa,Desconhecido
22,45.61,1.61,88.85,Feminino,Castanho,Preto,Envenenamento,Escola,Amarela,Classe Baixa,Desconhecido
1678,30.88,1.77,76.93,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1832,32.3,1.73,55.1,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1238,22.95,1.8,72.85,Feminino,Verde,Preto,Esfaqueamento,Trabalho,Parda,Classe Alta,Desconhecido
1372,15.81,1.59,38.11,Masculino,Azul,Castanho,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1659,40.08,1.61,54.85,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
862,58.14,1.67,37.9,Masculino,Preto,Castanho,Contusão,Escola,Parda,Classe Média,Desconhecido
953,33.98,1.86,63.82,Feminino,Verde,Loiro,Estrangulamento,Casa,Branca,Classe Baixa,Desconhecido
1247,21.64,1.44,58.2,Masculino,Verde,Loiro,Estrangulamento,Escola,Amarela,Classe Média,Desconhecido
758,20.63,1.45,36.43,Feminino,Preto,Ruivo,Estrangulamento,Trabalho,Parda,Classe Alta,Desconhecido
477,39.4,1.89,63.22,Feminino,Preto,Ruivo,Envenenamento,Rua,Parda,Classe Baixa,Desconhecido
357,59.08,1.61,31.12,Feminino,Azul,Ruivo,Esfaqueamento,Casa,Amarela,Classe Baixa,Desconhecido
458,14.56,1.63,82.6,Feminino,Verde,Preto,Envenenamento,Trabalho,Parda,Classe Baixa,Desconhecido
1392,13.66,1.44,43.39,Masculino,Azul,Loiro,Esfaqueamento,Escola,Branca,Classe Média,ElBigodon Camacho
1536,45.55,1.64,59.18,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1054,43.95,1.68,88.28,Masculino,Castanho,Loiro,Contusão,Escola,Branca,Classe Baixa,Desconhecido
647,30.68,1.43,38.27,Feminino,Castanho,Preto,Esfaqueamento,Escola,Branca,Classe Alta,Desconhecido
893,11.8,1.89,86.92,Feminino,Verde,Ruivo,Envenenamento,Escola,Negra,Classe Baixa,Desconhecido
1058,39.74,1.71,76.69,Feminino,Azul,Castanho,Contusão,Escola,Negra,Classe Média,Desconhecido
433,36.85,1.76,67.76,Masculino,Azul,Preto,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
405,35.56,1.86,44.2,Masculino,Verde,Castanho,Contusão,Escola,Negra,Classe Média,Desconhecido
1655,21.89,1.7,53.22,Masculino,Castanho,Preto,Envenenamento,Casa,Amarela,Classe Média,Coringon de le pinheirinho Silva
267,55.92,1.68,42.87,Masculino,Castanho,Loiro,Contusão,Rua,Amarela,Classe Média,Desconhecido
118,38.97,1.44,39.24,Masculino,Azul,Loiro,Contusão,Rua,Negra,Classe Alta,Desconhecido
1277,47.87,1.56,47.63,Masculino,Azul,Loiro,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
308,16.94,1.44,80.42,Masculino,Verde,Ruivo,Envenenamento,Trabalho,Parda,Classe Alta,Desconhecido
1376,20.54,1.51,45.48,Masculino,Preto,Castanho,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
440,44.17,1.75,68.63,Feminino,Azul,Loiro,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido
1327,21.57,1.67,34.33,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
982,48.19,1.87,76.2,Feminino,Castanho,Loiro,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
272,37.27,1.47,49.48,Feminino,Preto,Loiro,Esfaqueamento,Casa,Negra,Classe Média,Desconhecido
1,42.42,1.48,55.78,Feminino,Verde,Preto,Estrangulamento,Casa,Parda,Classe Alta,Desconhecido
147,36.76,1.86,63.37,Masculino,Castanho,Castanho,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
1230,41.39,1.62,43.97,Feminino,Preto,Preto,Estrangulamento,Escola,Parda,Classe Média,Desconhecido
1084,54.72,1.84,79.79,Masculino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Média,Desconhecido
1809,23.05,1.85,81.2,Feminino,Verde,Ruivo,Envenenamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
821,46.02,1.47,66.43,Feminino,Azul,Castanho,Contusão,Rua,Parda,Classe Média,Desconhecido
1036,38.53,1.53,79.86,Feminino,Verde,Castanho,Envenenamento,Trabalho,Negra,Classe Baixa,Desconhecido
539,29.6,1.67,53.41,Masculino,Preto,Loiro,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
783,46.94,1.62,31.64,Masculino,Preto,Ruivo,Envenenamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1611,41.0,1.78,56.55,Feminino,Castanho,Ruivo,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
524,29.46,1.82,80.46,Masculino,Preto,Preto,Contusão,Rua,Negra,Classe Alta,Desconhecido
1362,47.99,1.52,44.07,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
902,51.09,1.89,74.69,Masculino,Preto,Castanho,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
263,53.81,1.9,54.01,Feminino,Preto,Castanho,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
1609,38.17,1.62,54.05,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
99,46.86,1.77,82.08,Feminino,Azul,Ruivo,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
1103,12.25,1.57,56.92,Masculino,Verde,Ruivo,Estrangulamento,Escola,Amarela,Classe Média,Desconhecido
331,14.7,1.77,48.38,Feminino,Preto,Loiro,Contusão,Escola,Amarela,Classe Média,Desconhecido
1070,34.33,1.67,42.97,Masculino,Castanho,Castanho,Contusão,Casa,Parda,Classe Alta,Desconhecido
1825,24.33,1.67,35.89,Feminino,Preto,Preto,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1221,37.69,1.67,40.18,Masculino,Verde,Castanho,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
352,21.74,1.84,77.92,Masculino,Castanho,Castanho,Estrangulamento,Casa,Negra,Classe Baixa,Desconhecido
275,29.41,1.88,42.92,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Baixa,Desconhecido
1466,14.26,1.59,35.49,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
319,44.61,1.43,75.47,Masculino,Verde,Loiro,Contusão,Rua,Parda,Classe Média,Desconhecido
943,23.48,1.61,55.1,Masculino,Verde,Loiro,Contusão,Trabalho,Amarela,Classe Alta,Desconhecido
1359,45.35,1.61,76.14,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1608,37.99,1.59,63.35,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1294,29.76,1.52,63.02,Masculino,Azul,Castanho,Envenenamento,Escola,Amarela,Classe Baixa,Desconhecido
1763,47.55,1.89,86.93,Feminino,Verde,Castanho,Estrangulamento,Escola,Branca,Classe Alta,Roberto Chimarildo Tomáz
1693,21.3,1.71,76.97,Feminino,Azul,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
990,57.65,1.77,52.39,Masculino,Castanho,Loiro,Estrangulamento,Rua,Negra,Classe Média,Desconhecido
1750,29.76,1.7,85.29,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1596,42.53,1.63,60.09,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
470,14.99,1.45,81.21,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
276,46.82,1.86,68.05,Masculino,Azul,Preto,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
966,56.74,1.64,68.62,Masculino,Preto,Loiro,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
1438,21.74,1.54,56.62,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1654,35.73,1.66,60.55,Feminino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
1155,10.56,1.88,61.47,Masculino,Preto,Loiro,Envenenamento,Casa,Amarela,Classe Baixa,Desconhecido
167,26.54,1.7,59.69,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
942,19.05,1.46,53.93,Feminino,Castanho,Ruivo,Envenenamento,Rua,Amarela,Classe Média,Desconhecido
87,23.95,1.64,46.69,Masculino,Castanho,Castanho,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
104,14.51,1.51,56.25,Feminino,Azul,Ruivo,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
770,42.11,1.52,61.01,Masculino,Verde,Loiro,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
583,28.22,1.69,77.33,Masculino,Preto,Loiro,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
341,36.75,1.61,77.02,Masculino,Azul,Ruivo,Esfaqueamento,Trabalho,Parda,Classe Média,Desconhecido
426,11.58,1.54,33.17,Masculino,Preto,Preto,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
1414,12.75,1.62,42.87,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1460,23.06,1.46,42.52,Feminino,Azul,Ruivo,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
1722,57.83,1.79,75.57,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
569,48.63,1.55,86.62,Feminino,Azul,Ruivo,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido
1669,15.87,1.71,77.63,Feminino,Verde,Ruivo,Estrangulamento,Escola,Parda,Classe Média,Roberto Chimarildo Tomáz
452,58.63,1.78,57.28,Feminino,Preto,Castanho,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
498,35.98,1.56,67.84,Masculino,Castanho,Ruivo,Envenenamento,Escola,Parda,Classe Baixa,Desconhecido
1079,44.0,1.68,31.84,Feminino,Castanho,Preto,Contusão,Escola,Parda,Classe Alta,Desconhecido
417,29.33,1.68,45.5,Feminino,Preto,Ruivo,Envenenamento,Casa,Branca,Classe Média,Desconhecido
547,32.26,1.49,83.67,Masculino,Castanho,Castanho,Contusão,Rua,Parda,Classe Baixa,Desconhecido
1396,24.3,1.51,46.48,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
1209,58.43,1.78,69.05,Masculino,Preto,Castanho,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1782,22.67,1.87,66.66,Masculino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
101,21.21,1.81,87.43,Masculino,Azul,Loiro,Envenenamento,Escola,Branca,Classe Alta,Desconhecido
286,59.36,1.51,60.03,Masculino,Castanho,Loiro,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
651,49.2,1.55,60.91,Masculino,Azul,Castanho,Contusão,Casa,Branca,Classe Baixa,Desconhecido
589,47.64,1.48,56.85,Masculino,Preto,Loiro,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
1796,20.93,1.77,84.56,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
313,19.61,1.82,85.06,Feminino,Verde,Ruivo,Envenenamento,Casa,Negra,Classe Alta,Desconhecido
648,51.03,1.76,40.16,Masculino,Preto,Loiro,Envenenamento,Casa,Parda,Classe Média,Desconhecido
1222,33.78,1.48,79.47,Feminino,Azul,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Alta,Desconhecido
1549,37.6,1.72,56.94,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
642,18.72,1.8,55.91,Feminino,Verde,Ruivo,Estrangulamento,Rua,Branca,Classe Média,Desconhecido
1211,22.11,1.58,62.74,Masculino,Azul,Loiro,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido
1029,50.36,1.68,79.65,Masculino,Preto,Castanho,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
5,41.36,1.79,37.96,Masculino,Azul,Loiro,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
158,24.33,1.77,87.76,Feminino,Azul,Preto,Contusão,Rua,Parda,Classe Média,Desconhecido
329,18.59,1.87,49.31,Masculino,Azul,Preto,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
211,13.59,1.44,37.02,Masculino,Azul,Castanho,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
669,44.06,1.42,50.6,Feminino,Azul,Preto,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
1741,59.91,1.64,38.29,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
414,23.42,1.9,82.94,Feminino,Verde,Loiro,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
1559,35.02,1.73,63.56,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1634,37.26,1.58,66.16,Masculino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
1729,32.34,1.75,82.32,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
841,34.8,1.53,70.66,Masculino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,Desconhecido
1300,35.98,1.84,71.81,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Desconhecido
121,17.39,1.74,87.88,Feminino,Preto,Castanho,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
705,51.45,1.69,64.17,Masculino,Verde,Castanho,Estrangulamento,Casa,Branca,Classe Média,Desconhecido
173,21.46,1.74,86.74,Feminino,Castanho,Loiro,Estrangulamento,Casa,Amarela,Classe Alta,Desconhecido
1823,22.42,1.83,73.29,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
179,40.38,1.76,36.03,Masculino,Castanho,Ruivo,Contusão,Escola,Negra,Classe Média,Desconhecido
1783,20.72,1.71,80.08,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Branca,Classe Baixa,Roberto Chimarildo Tomáz
72,32.91,1.49,68.17,Feminino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
1035,58.3,1.43,33.39,Masculino,Castanho,Ruivo,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
1477,35.87,1.77,34.53,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1373,17.6,1.47,40.97,Masculino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
1585,43.32,1.7,65.05,Feminino,Castanho,Preto,Envenenamento,Casa,Amarela,Classe Média,Coringon de le pinheirinho Silva
180,47.6,1.89,48.26,Masculino,Azul,Loiro,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
641,47.01,1.83,79.01,Masculino,Preto,Preto,Contusão,Trabalho,Branca,Classe Baixa,Desconhecido
1032,26.47,1.55,46.58,Feminino,Preto,Preto,Esfaqueamento,Escola,Negra,Classe Média,Desconhecido
769,36.95,1.69,56.81,Masculino,Preto,Preto,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
1516,41.46,1.64,59.41,Feminino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
1459,15.73,1.6,44.9,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
792,33.3,1.87,86.59,Feminino,Verde,Loiro,Contusão,Rua,Negra,Classe Alta,Desconhecido
430,10.73,1.66,30.66,Feminino,Azul,Loiro,Estrangulamento,Casa,Parda,Classe Alta,Desconhecido
833,51.03,1.4,36.55,Masculino,Castanho,Ruivo,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
385,11.47,1.71,55.88,Masculino,Preto,Castanho,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
175,46.47,1.73,31.9,Feminino,Preto,Loiro,Envenenamento,Casa,Parda,Classe Média,Desconhecido
886,37.08,1.82,78.08,Feminino,Castanho,Castanho,Estrangulamento,Escola,Amarela,Classe Média,Desconhecido
593,29.1,1.87,72.55,Masculino,Azul,Ruivo,Esfaqueamento,Rua,Parda,Classe Alta,Desconhecido
1421,19.1,1.6,33.14,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
1827,22.18,1.73,85.55,Feminino,Preto,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
